obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,seawater_pressure,profiler_timestamp,practical_salinity,suspect_timestamp,seawater_temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3750134075,11,3.656100035,3767111118,3767111256,3750134075,0,internal_timestamp,68.10500336,1541145275,33.6711998,1,9.717900276,1026.274842,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('1',)",3750134075,11,3.656120062,3767111118,3767111256,3750134075,0,internal_timestamp,68.10099792,1541145275,33.67110062,0,9.71819973,1026.274697,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('2',)",3750134075,11,3.656019926,3767111118,3767111256,3750134075,0,internal_timestamp,68.09999847,1541145275,33.6697998,0,9.718500137,1026.273627,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('3',)",3750134075,11,3.656100035,3767111118,3767111256,3750134075,0,internal_timestamp,68.10500336,1541145275,33.67089844,0,9.71819973,1026.274557,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('4',)",3750134075,11,3.656120062,3767111118,3767111256,3750134075,0,internal_timestamp,68.10099792,1541145275,33.67079926,0,9.718500137,1026.274411,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('5',)",3750134075,11,3.655930042,3767111118,3767111256,3750134075,0,internal_timestamp,68.08899689,1541145275,33.6692009,0,9.718099594,1026.273176,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('6',)",3750134075,11,3.655970097,3767111118,3767111256,3750134075,0,internal_timestamp,68.08799744,1541145275,33.66970062,0,9.718000412,1026.273578,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('7',)",3750134075,11,3.655989885,3767111118,3767111256,3750134075,0,internal_timestamp,68.09999847,1541145275,33.66970062,0,9.71819973,1026.273599,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('8',)",3750134075,11,3.655930042,3767111118,3767111256,3750134075,0,internal_timestamp,68.09600067,1541145275,33.6692009,0,9.71819973,1026.273191,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('9',)",3750134075,11,3.655900002,3767111118,3767111256,3750134075,0,internal_timestamp,68.08999634,1541145275,33.66889954,0,9.718099594,1026.272945,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('10',)",3750134075,11,3.655910015,3767111118,3767111256,3750134075,0,internal_timestamp,68.08899689,1541145275,33.66899872,0,9.71819973,1026.273001,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('11',)",3750134075,11,3.655950069,3767111118,3767111256,3750134075,0,internal_timestamp,68.08799744,1541145275,33.66939926,0,9.71819973,1026.273309,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('12',)",3750134075,11,3.655989885,3767111118,3767111256,3750134075,0,internal_timestamp,68.08699799,1541145275,33.66970062,0,9.718299866,1026.273523,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('13',)",3750134075,11,3.656009912,3767111118,3767111256,3750134075,0,internal_timestamp,68.08699799,1541145275,33.66970062,0,9.718400002,1026.273507,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('14',)",3750134076,11,3.655999899,3767111118,3767111256,3750134076,0,internal_timestamp,68.08100128,1541145276,33.66960144,0,9.718500137,1026.273385,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('15',)",3750134076,11,3.655989885,3767111118,3767111256,3750134076,0,internal_timestamp,68.07800293,1541145276,33.66949844,0,9.718500137,1026.273291,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('16',)",3750134076,11,3.655989885,3767111118,3767111256,3750134076,0,internal_timestamp,68.07900238,1541145276,33.66949844,0,9.718500137,1026.273296,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('17',)",3750134076,11,3.65598011,3767111118,3767111256,3750134076,0,internal_timestamp,68.0739975,1541145276,33.66939926,0,9.718500137,1026.273195,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('18',)",3750134076,11,3.655970097,3767111118,3767111256,3750134076,0,internal_timestamp,68.0719986,1541145276,33.66930008,0,9.718500137,1026.273109,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('19',)",3750134076,11,3.655960083,3767111118,3767111256,3750134076,0,internal_timestamp,68.07099915,1541145276,33.66930008,0,9.718500137,1026.273104,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('20',)",3750134076,11,3.655960083,3767111118,3767111256,3750134076,0,internal_timestamp,68.06700134,1541145276,33.66930008,0,9.718400002,1026.273103,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('21',)",3750134076,11,3.655970097,3767111118,3767111256,3750134076,0,internal_timestamp,68.06099701,1541145276,33.66930008,0,9.718400002,1026.273076,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('22',)",3750134076,11,3.65598011,3767111118,3767111256,3750134076,0,internal_timestamp,68.06099701,1541145276,33.66939926,0,9.718500137,1026.273136,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('23',)",3750134076,11,3.655970097,3767111118,3767111256,3750134076,0,internal_timestamp,68.05899811,1541145276,33.66939926,0,9.718500137,1026.273127,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('24',)",3750134077,11,3.655960083,3767111118,3767111256,3750134077,0,internal_timestamp,68.05500031,1541145277,33.6692009,0,9.718500137,1026.272954,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('25',)",3750134077,11,3.655950069,3767111118,3767111256,3750134077,0,internal_timestamp,68.0530014,1541145277,33.66910172,0,9.718500137,1026.272868,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('26',)",3750134077,11,3.655960083,3767111118,3767111256,3750134077,0,internal_timestamp,68.0530014,1541145277,33.6692009,0,9.718500137,1026.272945,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('27',)",3750134077,11,3.655960083,3767111118,3767111256,3750134077,0,internal_timestamp,68.0530014,1541145277,33.66930008,0,9.718400002,1026.273039,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('28',)",3750134077,11,3.655970097,3767111118,3767111256,3750134077,0,internal_timestamp,68.0490036,1541145277,33.66939926,0,9.718400002,1026.273098,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('29',)",3750134077,11,3.655960083,3767111118,3767111256,3750134077,0,internal_timestamp,68.04499817,1541145277,33.66930008,0,9.718400002,1026.273003,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('30',)",3750134077,11,3.655960083,3767111118,3767111256,3750134077,0,internal_timestamp,68.04499817,1541145277,33.66930008,0,9.718400002,1026.273003,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('31',)",3750134077,11,3.655950069,3767111118,3767111256,3750134077,0,internal_timestamp,68.04199982,1541145277,33.6692009,0,9.718400002,1026.272912,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('32',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.03900146,1541145278,33.66930008,0,9.718400002,1026.272975,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('33',)",3750134078,11,3.655970097,3767111118,3767111256,3750134078,0,internal_timestamp,68.03900146,1541145278,33.66939926,0,9.718500137,1026.273036,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('34',)",3750134078,11,3.655999899,3767111118,3767111256,3750134078,0,internal_timestamp,68.03700256,1541145278,33.66960144,0,9.718500137,1026.273185,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('35',)",3750134078,11,3.655999899,3767111118,3767111256,3750134078,0,internal_timestamp,68.03299713,1541145278,33.66970062,0,9.718400002,1026.273261,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('36',)",3750134078,11,3.655999899,3767111118,3767111256,3750134078,0,internal_timestamp,68.03099823,1541145278,33.66970062,0,9.718400002,1026.273252,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('37',)",3750134078,11,3.655989885,3767111118,3767111256,3750134078,0,internal_timestamp,68.02400208,1541145278,33.66960144,0,9.718400002,1026.273142,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('38',)",3750134078,11,3.65598011,3767111118,3767111256,3750134078,0,internal_timestamp,68.02500153,1541145278,33.66960144,0,9.718400002,1026.273147,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('39',)",3750134078,11,3.655970097,3767111118,3767111256,3750134078,0,internal_timestamp,68.02600098,1541145278,33.66939926,0,9.718400002,1026.272994,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('40',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.02600098,1541145278,33.66930008,0,9.718400002,1026.272916,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('41',)",3750134078,11,3.655950069,3767111118,3767111256,3750134078,0,internal_timestamp,68.02300262,1541145278,33.66930008,0,9.718400002,1026.272903,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('42',)",3750134078,11,3.655950069,3767111118,3767111256,3750134078,0,internal_timestamp,68.02100372,1541145278,33.66930008,0,9.718400002,1026.272893,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('43',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.01999664,1541145278,33.66930008,0,9.718400002,1026.272889,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('44',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.01899719,1541145278,33.66930008,0,9.718400002,1026.272884,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('45',)",3750134078,11,3.655970097,3767111118,3767111256,3750134078,0,internal_timestamp,68.01799774,1541145278,33.66949844,0,9.718299866,1026.273051,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('46',)",3750134078,11,3.655970097,3767111118,3767111256,3750134078,0,internal_timestamp,68.01699829,1541145278,33.66949844,0,9.718299866,1026.273047,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('47',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.01300049,1541145278,33.66949844,0,9.71819973,1026.273045,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('48',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.01399994,1541145278,33.66949844,0,9.71819973,1026.27305,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('49',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.01000214,1541145278,33.66949844,0,9.718299866,1026.273015,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('50',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.01100159,1541145278,33.66939926,0,9.718299866,1026.272942,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('51',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.01100159,1541145278,33.66930008,0,9.718400002,1026.272848,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('52',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.01000214,1541145278,33.66930008,0,9.718400002,1026.272843,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('53',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.01000214,1541145278,33.6692009,0,9.718400002,1026.272766,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('54',)",3750134078,11,3.655950069,3767111118,3767111256,3750134078,0,internal_timestamp,68.00700378,1541145278,33.6692009,0,9.718400002,1026.272752,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('55',)",3750134078,11,3.655950069,3767111118,3767111256,3750134078,0,internal_timestamp,68.0059967,1541145278,33.6692009,0,9.718400002,1026.272748,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('56',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.0059967,1541145278,33.66930008,0,9.718400002,1026.272825,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('57',)",3750134078,11,3.655960083,3767111118,3767111256,3750134078,0,internal_timestamp,68.0059967,1541145278,33.66930008,0,9.718400002,1026.272825,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('58',)",3750134078,11,3.655950069,3767111118,3767111256,3750134078,0,internal_timestamp,68.00800323,1541145278,33.66930008,0,9.718400002,1026.272834,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('59',)",3750134078,11,3.655950069,3767111118,3767111256,3750134078,0,internal_timestamp,68.0039978,1541145278,33.6692009,0,9.718400002,1026.272739,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('60',)",3750134078,11,3.655940056,3767111118,3767111256,3750134078,0,internal_timestamp,68.0039978,1541145278,33.66910172,0,9.718400002,1026.272661,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('61',)",3750134078,11,3.655940056,3767111118,3767111256,3750134078,0,internal_timestamp,68.00099945,1541145278,33.66910172,0,9.718400002,1026.272648,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('62',)",3750134079,11,3.655940056,3767111118,3767111256,3750134079,0,internal_timestamp,68.00299835,1541145279,33.66910172,0,9.718400002,1026.272657,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('63',)",3750134079,11,3.655940056,3767111118,3767111256,3750134079,0,internal_timestamp,68.0039978,1541145279,33.66910172,0,9.718400002,1026.272661,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('64',)",3750134079,11,3.655950069,3767111118,3767111256,3750134079,0,internal_timestamp,68.0039978,1541145279,33.6692009,0,9.718400002,1026.272739,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('65',)",3750134079,11,3.655950069,3767111118,3767111256,3750134079,0,internal_timestamp,68.00299835,1541145279,33.6692009,0,9.718400002,1026.272734,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('66',)",3750134079,11,3.655960083,3767111118,3767111256,3750134079,0,internal_timestamp,68.00499725,1541145279,33.66930008,0,9.718400002,1026.272821,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('67',)",3750134079,11,3.655960083,3767111118,3767111256,3750134079,0,internal_timestamp,68.00700378,1541145279,33.66930008,0,9.718400002,1026.27283,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('68',)",3750134079,11,3.655970097,3767111118,3767111256,3750134079,0,internal_timestamp,68.0039978,1541145279,33.66930008,0,9.718500137,1026.272799,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('69',)",3750134079,11,3.655960083,3767111118,3767111256,3750134079,0,internal_timestamp,68.0059967,1541145279,33.6692009,0,9.718500137,1026.272731,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('70',)",3750134079,11,3.655950069,3767111118,3767111256,3750134079,0,internal_timestamp,68.0019989,1541145279,33.66910172,0,9.718500137,1026.272635,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('71',)",3750134079,11,3.655940056,3767111118,3767111256,3750134079,0,internal_timestamp,68.00299835,1541145279,33.66910172,0,9.718500137,1026.27264,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('72',)",3750134079,11,3.655950069,3767111118,3767111256,3750134079,0,internal_timestamp,68.00299835,1541145279,33.6692009,0,9.718400002,1026.272734,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('73',)",3750134079,11,3.655950069,3767111118,3767111256,3750134079,0,internal_timestamp,68.0019989,1541145279,33.6692009,0,9.718400002,1026.27273,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('74',)",3750134079,11,3.655950069,3767111118,3767111256,3750134079,0,internal_timestamp,68.0019989,1541145279,33.6692009,0,9.718400002,1026.27273,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('75',)",3750134079,11,3.655940056,3767111118,3767111256,3750134079,0,internal_timestamp,68.0039978,1541145279,33.66910172,0,9.718299866,1026.272678,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('76',)",3750134079,11,3.655930042,3767111118,3767111256,3750134079,0,internal_timestamp,68.0039978,1541145279,33.66910172,0,9.718299866,1026.272678,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('77',)",3750134079,11,3.655940056,3767111118,3767111256,3750134079,0,internal_timestamp,68.0059967,1541145279,33.6692009,0,9.718299866,1026.272764,29,13,29,13,29,13,29,13,29,29,44.637117,-124.302617
"('78',)",3750134080,11,3.655950069,3767111118,3767111256,3750134080,0,internal_timestamp,68.0059967,1541145280,33.66930008,0,9.718299866,1026.272842,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('79',)",3750134080,11,3.655960083,3767111118,3767111256,3750134080,0,internal_timestamp,68.0059967,1541145280,33.66939926,0,9.718400002,1026.272903,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('80',)",3750134080,11,3.655970097,3767111118,3767111256,3750134080,0,internal_timestamp,68.00499725,1541145280,33.66939926,0,9.718400002,1026.272898,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('81',)",3750134080,11,3.655960083,3767111118,3767111256,3750134080,0,internal_timestamp,68.01000214,1541145280,33.66939926,0,9.718400002,1026.272921,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('82',)",3750134080,11,3.655960083,3767111118,3767111256,3750134080,0,internal_timestamp,68.01399994,1541145280,33.66930008,0,9.718400002,1026.272862,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('83',)",3750134080,11,3.655960083,3767111118,3767111256,3750134080,0,internal_timestamp,68.01100159,1541145280,33.66930008,0,9.718400002,1026.272848,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('84',)",3750134080,11,3.655950069,3767111118,3767111256,3750134080,0,internal_timestamp,68.01399994,1541145280,33.6692009,0,9.718400002,1026.272784,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('85',)",3750134080,11,3.655940056,3767111118,3767111256,3750134080,0,internal_timestamp,68.01499939,1541145280,33.66910172,0,9.718400002,1026.272711,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('86',)",3750134080,11,3.655940056,3767111118,3767111256,3750134080,0,internal_timestamp,68.01399994,1541145280,33.66910172,0,9.718400002,1026.272707,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('87',)",3750134080,11,3.655930042,3767111118,3767111256,3750134080,0,internal_timestamp,68.01499939,1541145280,33.66899872,0,9.718400002,1026.272631,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('88',)",3750134080,11,3.655930042,3767111118,3767111256,3750134080,0,internal_timestamp,68.01399994,1541145280,33.66899872,1,9.718400002,1026.272626,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('89',)",3750134080,11,3.655930042,3767111118,3767111256,3750134080,0,internal_timestamp,68.01799774,1541145280,33.66910172,0,9.718400002,1026.272725,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('90',)",3750134080,11,3.655930042,3767111118,3767111256,3750134080,0,internal_timestamp,68.01999664,1541145280,33.66910172,0,9.718400002,1026.272734,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('91',)",3750134080,11,3.655940056,3767111118,3767111256,3750134080,0,internal_timestamp,68.02400208,1541145280,33.66910172,0,9.718400002,1026.272752,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('92',)",3750134080,11,3.655950069,3767111118,3767111256,3750134080,0,internal_timestamp,68.02700043,1541145280,33.6692009,0,9.718299866,1026.27286,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('93',)",3750134081,11,3.655970097,3767111118,3767111256,3750134081,0,internal_timestamp,68.02999878,1541145281,33.66949844,0,9.718299866,1026.273106,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('94',)",3750134081,11,3.65598011,3767111118,3767111256,3750134081,0,internal_timestamp,68.02899933,1541145281,33.66960144,0,9.718299866,1026.273182,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('95',)",3750134081,11,3.655989885,3767111118,3767111256,3750134081,0,internal_timestamp,68.02700043,1541145281,33.66970062,0,9.718299866,1026.27325,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('96',)",3750134081,11,3.655970097,3767111118,3767111256,3750134081,0,internal_timestamp,68.02899933,1541145281,33.66949844,0,9.718299866,1026.273101,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('97',)",3750134081,11,3.655960083,3767111118,3767111256,3750134081,0,internal_timestamp,68.02899933,1541145281,33.66939926,0,9.718400002,1026.273007,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('98',)",3750134081,11,3.655950069,3767111118,3767111256,3750134081,0,internal_timestamp,68.03199768,1541145281,33.6692009,0,9.718400002,1026.272866,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('99',)",3750134081,11,3.655940056,3767111118,3767111256,3750134081,0,internal_timestamp,68.03900146,1541145281,33.66899872,0,9.718400002,1026.27274,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('100',)",3750134081,11,3.655940056,3767111118,3767111256,3750134081,0,internal_timestamp,68.03800201,1541145281,33.66899872,0,9.718500137,1026.272719,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('101',)",3750134081,11,3.655940056,3767111118,3767111256,3750134081,0,internal_timestamp,68.04100037,1541145281,33.66910172,0,9.718500137,1026.272813,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('102',)",3750134081,11,3.655940056,3767111118,3767111256,3750134081,0,internal_timestamp,68.04100037,1541145281,33.66910172,0,9.718400002,1026.27283,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('103',)",3750134081,11,3.655950069,3767111118,3767111256,3750134081,0,internal_timestamp,68.04100037,1541145281,33.6692009,0,9.718400002,1026.272907,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('104',)",3750134081,11,3.655960083,3767111118,3767111256,3750134081,0,internal_timestamp,68.04199982,1541145281,33.66930008,0,9.718400002,1026.272989,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('105',)",3750134081,11,3.655960083,3767111118,3767111256,3750134081,0,internal_timestamp,68.04799652,1541145281,33.66930008,0,9.718400002,1026.273016,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('106',)",3750134081,11,3.655960083,3767111118,3767111256,3750134081,0,internal_timestamp,68.05000305,1541145281,33.66930008,0,9.718400002,1026.273025,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('107',)",3750134081,11,3.655970097,3767111118,3767111256,3750134081,0,internal_timestamp,68.0530014,1541145281,33.66939926,0,9.718400002,1026.273117,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('108',)",3750134081,11,3.655970097,3767111118,3767111256,3750134081,0,internal_timestamp,68.05599976,1541145281,33.66939926,0,9.718400002,1026.27313,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('109',)",3750134082,11,3.65598011,3767111118,3767111256,3750134082,0,internal_timestamp,68.05599976,1541145282,33.66949844,0,9.718400002,1026.273208,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('110',)",3750134082,11,3.655989885,3767111118,3767111256,3750134082,0,internal_timestamp,68.05999756,1541145282,33.66949844,0,9.718400002,1026.273226,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('111',)",3750134082,11,3.65598011,3767111118,3767111256,3750134082,0,internal_timestamp,68.06199646,1541145282,33.66939926,0,9.718400002,1026.273157,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('112',)",3750134082,11,3.655960083,3767111118,3767111256,3750134082,0,internal_timestamp,68.06600189,1541145282,33.66930008,0,9.718400002,1026.273098,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('113',)",3750134082,11,3.655950069,3767111118,3767111256,3750134082,0,internal_timestamp,68.06500244,1541145282,33.6692009,0,9.718400002,1026.273016,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('114',)",3750134082,11,3.655930042,3767111118,3767111256,3750134082,0,internal_timestamp,68.06600189,1541145282,33.66910172,0,9.718299866,1026.27296,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('115',)",3750134082,11,3.655930042,3767111118,3767111256,3750134082,0,internal_timestamp,68.0719986,1541145282,33.66910172,0,9.718299866,1026.272987,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('116',)",3750134082,11,3.655940056,3767111118,3767111256,3750134082,0,internal_timestamp,68.0719986,1541145282,33.6692009,0,9.718299866,1026.273065,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('117',)",3750134082,11,3.655950069,3767111118,3767111256,3750134082,0,internal_timestamp,68.07099915,1541145282,33.66930008,0,9.718299866,1026.273138,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('118',)",3750134082,11,3.655960083,3767111118,3767111256,3750134082,0,internal_timestamp,68.0759964,1541145282,33.66939926,0,9.718299866,1026.273238,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('119',)",3750134082,11,3.655970097,3767111118,3767111256,3750134082,0,internal_timestamp,68.07900238,1541145282,33.66949844,0,9.718299866,1026.273329,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('120',)",3750134082,11,3.655970097,3767111118,3767111256,3750134082,0,internal_timestamp,68.08300018,1541145282,33.66949844,0,9.718299866,1026.273347,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('121',)",3750134082,11,3.655970097,3767111118,3767111256,3750134082,0,internal_timestamp,68.08499908,1541145282,33.66949844,0,9.718299866,1026.273356,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('122',)",3750134082,11,3.655960083,3767111118,3767111256,3750134082,0,internal_timestamp,68.08799744,1541145282,33.66939926,0,9.718299866,1026.273293,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('123',)",3750134082,11,3.655950069,3767111118,3767111256,3750134082,0,internal_timestamp,68.08899689,1541145282,33.66930008,0,9.718299866,1026.27322,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('124',)",3750134082,11,3.655940056,3767111118,3767111256,3750134082,0,internal_timestamp,68.09100342,1541145282,33.66910172,0,9.718400002,1026.273057,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('125',)",3750134083,11,3.655940056,3767111118,3767111256,3750134083,0,internal_timestamp,68.09300232,1541145283,33.66910172,0,9.718400002,1026.273066,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('126',)",3750134083,11,3.655940056,3767111118,3767111256,3750134083,0,internal_timestamp,68.09300232,1541145283,33.66910172,0,9.718400002,1026.273066,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('127',)",3750134083,11,3.655940056,3767111118,3767111256,3750134083,0,internal_timestamp,68.09600067,1541145283,33.66910172,0,9.718400002,1026.27308,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('128',)",3750134083,11,3.655950069,3767111118,3767111256,3750134083,0,internal_timestamp,68.10099792,1541145283,33.6692009,0,9.718400002,1026.27318,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('129',)",3750134083,11,3.655940056,3767111118,3767111256,3750134083,0,internal_timestamp,68.10299683,1541145283,33.66910172,0,9.718400002,1026.273112,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
